sessionId,timestamp,username,label,combinedScore,ambientScore,captchaScore,deviceOs,deviceBrowser,screenResolution,devicePixelRatio,networkLatencyMs,straightnessMean,straightnessStd,dirEntropyMean,dirEntropyStd,velCvMean,velCvStd,velStdMean,accelStdMean,preDwellMean,preDwellStd,reactionMsMean,overshootMean,idleBurstMean,trajPointsMean,arcLengthMean,flags
"a271b29c-b46d-4fb1-9152-a180b7b50678","2026-04-14T04:45:38.096Z","gbdio","human",16,0,25,"macOS","Chrome","1440x900",2,569,0.94448,0.04589,1.36327,0.83145,0.97879,0.102,0.43154,0.2616,536.66667,101.39801,867,0.33333,0,28,180.13906,"insufficient_data;straight_cursor_path"
"bd0fecd8-693a-4909-868a-714cd79ac065","2026-04-14T04:46:05.429Z","gbdio","human",13,0,20,"macOS","Chrome","1440x900",2,519,0.94761,0.0343,1.15511,0.41608,1.26543,0.22924,0.57201,0.47448,363.33333,25.72072,393.66667,0.66667,0,27,185.87563,"insufficient_data;straight_cursor_path"
"b2bf3a95-d6a9-453f-abfe-6036f072112d","2026-04-14T04:46:19.952Z","gbdio","human",13,0,20,"macOS","Chrome","1440x900",2,473,0.72474,0.33953,1.68421,0.53299,1.01991,0.19867,0.25777,0.17663,516,245.65016,110.33333,0.66667,0,43.66667,192.42019,"insufficient_data;fast_reaction_time"
"cb325def-1d92-4dee-95ee-c2dec710f9de","2026-04-14T04:46:31.890Z","gbdio","human",3,0,5,"macOS","Chrome","1440x900",2,784,0.873,0.09065,2.03489,0.16175,1.46652,0.16825,0.47456,0.37292,545.33333,187.47681,230.66667,0.33333,0,35,179.81221,"insufficient_data"
"9e6b7813-9594-4989-a478-7176905514c7","2026-04-14T04:46:44.742Z","gbdio","human",13,0,20,"macOS","Chrome","1440x900",2,464,0.96198,0.00285,1.47446,0.18986,1.19077,0.06655,0.46843,0.42931,410.66667,65.45397,290.66667,0.33333,0,20,115.33179,"insufficient_data;straight_cursor_path"
"7f156b70-32fb-4343-957a-5b08c0ab4e53","2026-04-14T04:47:07.095Z","gbdio","human",13,0,20,"macOS","Chrome","1440x900",2,769,0.95565,0.02847,1.47065,0.33116,1.29956,0.17228,0.54612,0.32908,421,64.50323,216.66667,0.33333,0,31,189.43271,"insufficient_data;straight_cursor_path"
"957c527c-c4ce-435c-aeb5-642b71494277","2026-04-14T04:47:31.102Z","gbdio","human",26,0,40,"macOS","Chrome","1440x900",2,690,0.98327,0.00595,0.81072,0.24948,1.05515,0.1904,0.407,0.2714,345,99.04881,140,0.33333,0,22,124.14281,"insufficient_data;straight_cursor_path;fast_reaction_time"
"a600891a-d759-4a9c-b6a9-247578622174","2026-04-14T04:47:53.858Z","gbdio","human",10,0,15,"macOS","Chrome","1440x900",2,491,0.87681,0.09722,1.0781,0.65793,1.15731,0.35296,0.35443,0.19444,376.66667,100.54629,5,0.33333,0,29.66667,162.63895,"insufficient_data;fast_reaction_time"
"2ada4272-215f-4b6b-a3c2-feab4cb43653","2026-04-14T04:48:14.014Z","gbdio","human",7,0,10,"macOS","Chrome","1440x900",2,448,0.85306,0.08417,2.19074,0.3103,1.63078,0.40694,0.39477,0.26449,539.66667,58.10527,84,0.33333,0,29.66667,154.12689,"insufficient_data;fast_reaction_time"
"e19b4188-82c9-434b-bb69-fcefc8704e0f","2026-04-14T04:48:44.722Z","gbdio","human",39,0,60,"macOS","Chrome","1440x900",2,556,0.9353,0.03603,1.55297,0.32744,1.14734,0.13143,0.27286,0.24301,361.66667,46.31295,77.66667,0,0,21.66667,83.51611,"insufficient_data;straight_cursor_path;fast_reaction_time;no_target_overshoot"
"14b5015c-806a-4988-9114-3eac0d7d48ca","2026-04-14T04:49:40.727Z","gbdio","human",23,0,35,"macOS","Chrome","1440x900",2,1110,0.92688,0.06027,1.32911,0.5751,1.06359,0.24052,0.23015,0.25896,422.33333,87.07213,17,0.66667,0,28.66667,125.81611,"insufficient_data;fast_reaction_time"
"0f2efc7d-b7e8-4831-868a-be054c7deee5","2026-04-14T04:49:51.511Z","gbdio","human",23,0,35,"macOS","Chrome","1440x900",2,470,0.961,0.02701,1.218,0.52314,1.07119,0.11122,0.25094,0.19388,400,63.47178,229.33333,0.33333,0,25,108.10169,"insufficient_data;straight_cursor_path"
"0bb78f35-b017-4c2a-99c8-3b28ff356ce7","2026-04-14T04:50:02.173Z","gbdio","human",10,0,15,"macOS","Chrome","1440x900",2,679,0.77954,0.17987,1.80224,0.61103,1.10201,0.16433,0.40403,0.35917,344.33333,5.79272,9,0.33333,0,27.66667,157.57717,"insufficient_data;fast_reaction_time"
"85345325-2d32-48f7-b9da-21275c732a1e","2026-04-14T04:50:15.495Z","gbdio","human",3,0,5,"macOS","Chrome","1440x900",2,508,0.77557,0.28809,1.55041,0.75262,0.94746,0.13547,0.37153,0.22369,374.66667,33.82635,205.33333,0.33333,0,33.33333,219.53376,"insufficient_data"
"0f3e8e0e-5088-4923-94b9-fcc5839b4c35","2026-04-14T04:50:26.858Z","gbdio","human",7,0,10,"macOS","Chrome","1440x900",2,623,0.47382,0.33086,2.14795,0.42647,1.18334,0.14991,0.59904,0.39353,401.66667,31.04119,7.33333,0.33333,0,38,328.79014,"insufficient_data;fast_reaction_time"
