sessionId,timestamp,username,label,combinedScore,ambientScore,captchaScore,deviceOs,deviceBrowser,screenResolution,devicePixelRatio,networkLatencyMs,straightnessMean,straightnessStd,dirEntropyMean,dirEntropyStd,velCvMean,velCvStd,velStdMean,accelStdMean,preDwellMean,preDwellStd,reactionMsMean,overshootMean,idleBurstMean,trajPointsMean,arcLengthMean,flags
"f4a54f0a-fba3-4f9f-8f73-4414f38dc85f","2026-04-14T04:46:43.716Z","Hulan","human",39,0,60,"macOS","Chrome","1440x900",2,527,0.97589,0.01122,1.10159,0.58375,1.13859,0.23265,0.27698,0.17127,488,46.78319,958.33333,0,0,33.33333,142.60001,"insufficient_data;straight_cursor_path;no_target_overshoot"
"aceaccfb-f068-4160-a266-a30c936cb169","2026-04-14T04:46:55.069Z","Hulan","human",3,0,5,"macOS","Chrome","1440x900",2,508,0.57762,0.10225,2.28406,0.05099,0.91527,0.09898,0.38922,0.18342,572.33333,78.57198,372.66667,0.66667,0,44.33333,302.94671,"insufficient_data"
"762fff1c-ebad-4eb9-8e65-d6e6e5a8eda2","2026-04-14T04:47:08.939Z","Hulan","human",10,0,15,"macOS","Chrome","1440x900",2,595,0.80752,0.01693,1.94372,0.12194,1.24234,0.12716,0.61939,0.28106,420.33333,91.68545,399.66667,0,0,37.66667,295.49986,"insufficient_data;no_target_overshoot"
"a9ae2b34-bd2c-417b-b42e-4fe9caf3d397","2026-04-14T04:47:45.133Z","Hulan","human",10,0,15,"macOS","Chrome","1440x900",2,514,0.42993,0.21498,2.23119,0.18207,1.26727,0.15323,0.60366,0.47842,473,78.6935,314.66667,0,0,31.66667,287.91759,"insufficient_data;no_target_overshoot"
"2439e3d7-6101-4244-a1f9-34aca8450be6","2026-04-14T04:48:01.395Z","Hulan","human",13,0,20,"macOS","Chrome","1440x900",2,570,0.66925,0.37891,1.85003,0.57068,0.99506,0.11665,0.4349,0.22546,370,64.16126,304.66667,0,0,36,260.50382,"insufficient_data;no_target_overshoot"
"f911ad88-f4b4-4ac0-a336-b199cdf1105c","2026-04-14T04:48:22.256Z","Hulan","human",0,0,0,"macOS","Chrome","1440x900",2,577,0.47472,0.2788,2.22669,0.33451,1.10774,0.20745,0.48404,0.29075,434,124.17998,258,0.33333,0,63,401.48884,"insufficient_data"
"18db79b9-d7e7-4b05-be25-afc59ed13f73","2026-04-14T04:48:43.533Z","Hulan","human",10,0,15,"macOS","Chrome","1440x900",2,827,0.59497,0.25824,1.91268,0.58679,1.12098,0.21548,0.55307,0.38389,489.33333,135.15999,369.33333,0,0,24.66667,212.18059,"insufficient_data;no_target_overshoot"
"b63e8d20-3d17-4f5f-882c-d0ca6b299bee","2026-04-14T04:48:59.445Z","Hulan","human",10,0,15,"macOS","Chrome","1440x900",2,612,0.76361,0.17727,1.73604,0.44753,1.08804,0.1747,0.53408,0.33297,408.33333,76.47367,357.33333,0,0,30.33333,241.46112,"insufficient_data;no_target_overshoot"
"d18d1f27-add0-41a3-8f28-a5099118ca43","2026-04-14T04:49:12.730Z","Hulan","human",13,0,20,"macOS","Chrome","1440x900",2,504,0.49229,0.30613,2.17178,0.40464,0.81555,0.06242,0.32339,0.21667,384.33333,61.39671,436.66667,0,0,34.66667,244.85197,"insufficient_data;no_target_overshoot"
"3d44b5af-b5c4-4ad6-8ad7-ce7cbcc886f3","2026-04-14T04:49:31.339Z","Hulan","human",3,0,5,"macOS","Chrome","1440x900",2,532,0.83328,0.17166,1.47396,0.30211,0.81802,0.19567,0.4541,0.30771,317.66667,25.22345,461.66667,0.66667,0,22.66667,201.98695,"insufficient_data"
"540362bb-0d96-44ac-8737-1aa1a0303a4f","2026-04-14T04:49:52.779Z","Hulan","human",7,0,10,"macOS","Chrome","1440x900",2,328,0.92066,0.05392,1.41413,0.27267,0.96487,0.20261,0.48954,0.29523,382.33333,21.63844,358.33333,0.66667,0,25.33333,221.53873,"insufficient_data"
